,IA,IB,IC,IZ,eA,eB,eC
33,7.09,-7.81,0.78,0.05,-0.56,-0.45,0.98
34,8.76,-7.27,-0.32,1.17,-0.62,-0.39,0.95
35,8.2,-6.72,-4.17,-2.69,-0.67,-0.32,0.92
36,5.42,-2.89,-2.52,0.01,-0.72,-0.25,0.88
37,0.98,-2.34,-0.32,-1.69,-0.77,-0.16,0.83
38,-0.69,-3.98,1.88,-2.8,-0.82,-0.08,0.78
39,-1.8,-5.08,6.82,-0.06,-0.87,0.0,0.73
40,-1.8,-6.72,7.92,-0.6,-0.9,0.07,0.68
41,-1.25,-7.81,9.57,0.51,-0.93,0.14,0.63
42,-1.25,-5.63,9.02,2.15,-0.95,0.21,0.56
43,-3.47,-2.89,5.72,-0.63,-0.96,0.28,0.5
44,-5.14,-1.25,5.72,-0.66,-0.98,0.36,0.42
45,-6.25,-1.8,6.82,-1.22,-0.99,0.44,0.35
46,-6.25,-3.44,9.02,-0.66,-1.0,0.51,0.28
47,-4.58,-4.53,10.67,1.56,-1.0,0.57,0.21
48,-4.58,-6.72,11.22,-0.08,-0.99,0.62,0.14
49,-1.8,-3.98,8.47,2.69,-0.96,0.67,0.06
50,-4.58,-2.34,9.02,2.1,-0.94,0.72,-0.02
51,-6.25,-0.7,8.47,1.52,-0.91,0.78,-0.1
52,-9.58,0.39,11.22,2.03,-0.87,0.83,-0.19
53,-13.47,0.39,12.87,-0.21,-0.84,0.87,-0.27
54,-13.47,-0.15,16.17,2.54,-0.8,0.9,-0.34
55,-12.92,-1.25,14.52,0.35,-0.75,0.92,-0.4
56,-12.36,-0.15,14.52,2.0,-0.7,0.94,-0.46
57,-11.25,0.94,12.32,2.01,-0.64,0.96,-0.53
58,-12.36,3.68,10.12,1.44,-0.58,0.98,-0.6
59,-12.36,3.68,10.67,1.99,-0.52,0.99,-0.66
60,-13.47,3.13,12.32,1.98,-0.46,1.0,-0.72
61,-13.47,0.39,13.42,0.34,-0.39,1.0,-0.77
62,-10.69,-1.25,14.52,2.58,-0.33,0.98,-0.81
63,-9.03,-2.89,12.87,0.95,-0.26,0.96,-0.85
64,-7.92,0.39,8.47,0.95,-0.17,0.93,-0.88
65,-7.92,2.58,7.92,2.59,-0.09,0.9,-0.92
66,-9.03,4.77,5.17,0.92,-0.01,0.86,-0.95
67,-9.03,6.96,2.43,0.36,0.07,0.83,-0.97
68,-11.25,8.05,4.08,0.88,0.14,0.79,-0.99
69,-9.03,6.96,3.53,1.46,0.21,0.74,-1.0
70,-5.14,4.77,1.33,0.96,0.27,0.69,-1.0
71,-3.47,4.77,0.23,1.53,0.35,0.63,-1.0
72,-1.8,4.22,-0.32,2.1,0.43,0.57,-1.0
73,-4.58,6.96,-1.42,0.96,0.5,0.51,-0.99
74,-5.14,6.41,-0.87,0.4,0.56,0.45,-0.98
75,-5.69,5.32,0.78,0.4,0.61,0.39,-0.95
76,-6.25,3.13,4.08,0.96,0.66,0.33,-0.92
77,-2.36,1.49,2.98,2.11,0.71,0.24,-0.88
78,1.53,-0.7,-0.87,-0.04,0.77,0.16,-0.83
79,3.2,1.49,-3.07,1.62,0.82,0.07,-0.78
80,3.75,6.41,-8.02,2.15,0.87,0.0,-0.73
81,1.53,8.05,-10.22,-0.63,0.91,-0.08,-0.68
82,1.53,7.51,-10.77,-1.73,0.93,-0.14,-0.63
83,1.53,6.96,-10.22,-1.72,0.95,-0.21,-0.56
84,3.75,4.77,-6.92,1.61,0.96,-0.28,-0.5
85,5.98,1.49,-7.47,0.0,0.98,-0.36,-0.42
86,7.09,1.49,-8.57,0.01,0.99,-0.44,-0.35
87,7.09,4.22,-10.77,0.55,1.0,-0.51,-0.28
88,5.98,5.87,-11.86,-0.02,0.99,-0.57,-0.21
89,2.64,7.51,-11.32,-1.16,0.98,-0.62,-0.13
90,1.53,6.41,-9.67,-1.72,0.96,-0.67,-0.06
91,3.75,4.22,-8.57,-0.59,0.94,-0.73,0.02
92,5.42,1.49,-9.12,-2.21,0.9,-0.78,0.11
93,7.64,1.49,-10.22,-1.08,0.87,-0.83,0.2
94,9.31,0.39,-12.41,-2.71,0.83,-0.88,0.27
95,11.54,2.04,-13.51,0.06,0.79,-0.91,0.34
96,10.98,1.49,-15.16,-2.7,0.75,-0.93,0.4
97,9.31,0.39,-11.32,-1.61,0.69,-0.95,0.47
98,8.76,-1.25,-10.22,-2.71,0.64,-0.97,0.54
99,9.31,-2.34,-7.47,-0.5,0.57,-0.99,0.61
100,10.42,-3.44,-8.57,-1.58,0.51,-1.0,0.68
101,10.98,-1.8,-10.22,-1.03,0.45,-1.0,0.73
102,10.42,0.39,-10.77,0.05,0.38,-1.0,0.78
103,8.76,4.22,-13.51,-0.53,0.32,-0.99,0.82
104,6.53,3.68,-11.32,-1.1,0.25,-0.97,0.85
105,4.31,1.49,-7.47,-1.67,0.16,-0.94,0.89
106,5.98,-2.34,-6.37,-2.73,0.07,-0.9,0.93
107,9.87,-5.63,-4.17,0.07,-0.01,-0.87,0.96
108,10.98,-8.36,-3.62,-1.0,-0.08,-0.84,0.99
109,12.65,-9.46,-5.27,-2.08,-0.15,-0.8,1.0
110,12.65,-8.36,-4.72,-0.43,-0.22,-0.75,1.0
111,9.87,-6.72,-3.62,-0.47,-0.29,-0.7,1.0
112,5.98,-5.63,-0.87,-0.52,-0.36,-0.64,1.0
113,4.87,-6.17,1.33,0.02,-0.43,-0.57,0.99
114,6.53,-7.81,1.33,0.05,-0.51,-0.51,0.99
115,7.64,-8.36,0.78,0.06,-0.57,-0.45,0.97
116,9.31,-7.27,-1.97,0.07,-0.62,-0.39,0.95
117,8.76,-5.63,-3.62,-0.49,-0.67,-0.32,0.92
118,4.31,-2.34,-2.52,-0.55,-0.72,-0.24,0.88
119,0.42,-1.25,0.78,-0.05,-0.78,-0.16,0.83
120,-1.25,-3.44,2.98,-1.71,-0.83,-0.07,0.78
121,-1.8,-5.08,7.37,0.49,-0.87,0.0,0.73
122,-2.36,-7.81,8.47,-1.7,-0.91,0.07,0.68
123,-1.25,-8.36,10.67,1.06,-0.94,0.14,0.63
124,-2.91,-5.08,8.47,0.48,-0.95,0.22,0.56
125,-4.58,-2.34,6.27,-0.65,-0.97,0.29,0.5
126,-6.8,-0.15,6.27,-0.68,-0.98,0.37,0.42
127,-5.69,-1.25,6.82,-0.12,-0.99,0.44,0.35
128,-5.69,-3.44,9.57,0.44,-1.0,0.51,0.27
129,-5.14,-5.63,11.22,0.46,-1.0,0.57,0.2
130,-4.03,-6.17,11.77,1.57,-0.99,0.63,0.14
131,-2.91,-4.53,9.57,2.13,-0.96,0.68,0.06
132,-4.58,-1.8,9.02,2.65,-0.93,0.73,-0.02
133,-7.36,0.39,7.92,0.96,-0.9,0.78,-0.11
134,-10.14,0.94,11.22,2.02,-0.87,0.83,-0.2
135,-13.47,-0.15,14.52,0.89,-0.83,0.87,-0.27
136,-14.03,0.39,15.62,1.98,-0.79,0.91,-0.34
137,-13.47,-0.7,15.62,1.44,-0.75,0.93,-0.4
138,-12.36,-0.15,14.52,2.0,-0.69,0.95,-0.47
139,-11.81,2.04,11.77,2.0,-0.64,0.97,-0.53
140,-12.92,4.22,10.12,1.43,-0.57,0.99,-0.6
141,-13.47,3.68,10.12,0.33,-0.51,1.0,-0.67
142,-13.47,3.13,11.22,0.88,-0.45,1.0,-0.73
143,-12.92,1.49,12.87,1.44,-0.39,1.0,-0.77
144,-11.25,-1.25,14.52,2.02,-0.32,0.99,-0.81
145,-9.03,-2.34,12.32,0.95,-0.25,0.96,-0.85
146,-6.8,-0.15,8.47,1.51,-0.16,0.93,-0.88
147,-8.47,3.68,7.37,2.58,-0.08,0.9,-0.92
148,-9.03,4.77,4.63,0.37,0.0,0.87,-0.95
149,-9.03,7.51,2.43,0.91,0.08,0.83,-0.98
150,-11.25,8.6,4.08,1.43,0.14,0.8,-1.0
151,-8.47,6.96,2.98,1.46,0.21,0.75,-1.0
152,-5.69,4.77,1.88,0.96,0.29,0.69,-1.0
153,-2.91,4.77,0.78,2.63,0.36,0.63,-1.0
154,-2.91,5.32,-2.52,-0.12,0.43,0.57,-1.0
155,-3.47,6.41,-1.97,0.97,0.51,0.51,-0.99
156,-5.14,6.41,-0.87,0.4,0.57,0.45,-0.98
157,-5.14,4.77,0.78,0.41,0.62,0.39,-0.95
158,-5.69,3.13,4.63,2.06,0.67,0.32,-0.92
159,-2.91,1.49,2.43,1.0,0.72,0.24,-0.87
160,2.64,-0.7,-1.97,-0.03,0.77,0.16,-0.83
161,3.75,1.49,-3.07,2.17,0.83,0.07,-0.78
162,4.31,5.87,-9.67,0.51,0.88,-0.01,-0.73
163,3.2,8.6,-10.77,1.03,0.91,-0.08,-0.68
164,2.64,7.51,-9.67,0.48,0.93,-0.15,-0.62
165,2.64,6.41,-10.77,-1.71,0.95,-0.22,-0.56
166,4.31,3.68,-7.47,0.52,0.96,-0.29,-0.49
167,7.09,0.39,-8.02,-0.53,0.98,-0.37,-0.42
168,7.09,1.49,-9.67,-1.09,0.99,-0.44,-0.34
169,7.64,4.22,-11.32,0.55,1.0,-0.51,-0.27
170,5.98,5.87,-12.41,-0.57,1.0,-0.57,-0.2
171,3.2,6.41,-10.77,-1.15,0.99,-0.63,-0.13
172,1.53,5.87,-9.12,-1.72,0.96,-0.68,-0.05
173,4.31,3.13,-8.57,-1.13,0.93,-0.73,0.03
174,5.98,1.49,-8.02,-0.55,0.9,-0.79,0.12
175,8.2,0.39,-10.77,-2.17,0.87,-0.84,0.2
176,9.87,0.94,-12.41,-1.61,0.83,-0.88,0.28
177,12.09,1.49,-14.61,-1.03,0.79,-0.91,0.34
178,10.98,0.39,-12.96,-1.59,0.75,-0.94,0.41
179,10.42,-0.15,-10.77,-0.5,0.69,-0.96,0.48
180,9.31,-1.25,-9.67,-1.6,0.63,-0.98,0.55
181,9.87,-2.34,-8.02,-0.49,0.57,-0.99,0.61
182,10.98,-2.34,-8.57,0.07,0.5,-1.0,0.68
183,11.54,-1.8,-10.77,-1.03,0.44,-1.01,0.74
184,11.54,-0.15,-11.86,-0.48,0.38,-1.0,0.78
185,8.2,3.68,-12.96,-1.09,0.32,-0.99,0.82
186,7.09,2.58,-10.77,-1.09,0.24,-0.97,0.86
187,4.31,1.49,-8.02,-2.22,0.16,-0.94,0.9
188,7.09,-2.34,-5.82,-1.07,0.07,-0.9,0.94
189,9.87,-6.17,-4.72,-1.02,-0.01,-0.87,0.97
190,11.54,-8.36,-4.72,-1.55,-0.08,-0.83,0.99
191,13.2,-9.46,-4.72,-0.97,-0.15,-0.8,1.0
192,12.09,-8.91,-4.17,-0.99,-0.22,-0.75,1.0
193,8.76,-6.72,-3.07,-1.03,-0.29,-0.69,1.0
194,5.42,-5.63,-0.87,-1.07,-0.36,-0.63,1.0
195,4.31,-6.72,1.88,-0.53,-0.44,-0.57,1.0
196,6.53,-8.36,1.33,-0.5,-0.51,-0.51,0.99
197,8.2,-8.36,0.78,0.62,-0.57,-0.45,0.98
198,8.2,-6.72,-0.87,0.61,-0.62,-0.39,0.96
199,7.09,-5.08,-3.62,-1.61,-0.68,-0.32,0.92
200,4.31,-3.44,-1.97,-1.1,-0.73,-0.24,0.88
201,0.42,-1.8,1.88,0.5,-0.78,-0.15,0.83
202,-1.25,-3.44,2.98,-1.71,-0.83,-0.07,0.78
203,-2.36,-5.08,7.37,-0.06,-0.88,0.01,0.73
204,-2.36,-7.81,10.12,-0.05,-0.91,0.08,0.68
205,-1.8,-7.27,9.57,0.5,-0.94,0.15,0.62
206,-3.47,-4.53,8.47,0.47,-0.95,0.22,0.56
207,-4.58,-1.8,6.27,-0.1,-0.97,0.3,0.49
208,-6.8,-0.7,6.27,-1.23,-0.98,0.38,0.42
209,-6.25,-1.8,8.47,0.43,-0.99,0.45,0.34
210,-6.25,-3.98,10.12,-0.11,-1.0,0.52,0.27
211,-5.14,-5.08,10.12,-0.09,-1.0,0.58,0.2
212,-4.03,-5.08,11.22,2.12,-0.98,0.63,0.13
213,-2.91,-4.53,8.47,1.03,-0.96,0.69,0.06
214,-5.14,-1.8,8.47,1.54,-0.93,0.74,-0.02
215,-9.03,0.94,9.02,0.94,-0.9,0.79,-0.11
216,-10.14,0.39,11.22,1.48,-0.87,0.84,-0.2
217,-14.58,0.39,15.07,0.88,-0.83,0.88,-0.27
218,-14.03,-0.15,15.62,1.44,-0.79,0.91,-0.34
219,-13.47,-0.15,15.07,1.44,-0.74,0.94,-0.4
220,-12.36,0.94,13.97,2.55,-0.69,0.96,-0.46
221,-12.36,2.58,11.77,1.99,-0.63,0.98,-0.53
222,-12.92,3.68,10.12,0.88,-0.57,0.99,-0.6
223,-13.47,3.68,11.22,1.42,-0.51,1.01,-0.66
224,-14.58,3.13,12.32,0.87,-0.44,1.01,-0.72
225,-13.47,0.94,13.42,0.89,-0.38,1.01,-0.77
226,-11.81,-1.25,13.97,0.92,-0.31,0.99,-0.8
227,-9.03,-1.8,12.32,1.5,-0.24,0.97,-0.84
228,-7.92,-0.15,9.02,0.95,-0.15,0.93,-0.88
229,-8.47,3.13,6.82,1.48,-0.07,0.9,-0.91
230,-9.03,4.77,5.17,0.92,0.01,0.87,-0.94
231,-9.03,7.51,3.53,2.01,0.08,0.83,-0.97
232,-11.25,8.05,2.98,-0.22,0.15,0.8,-0.98
233,-8.47,6.96,2.98,1.46,0.22,0.75,-0.99
234,-5.14,4.77,1.33,0.96,0.29,0.69,-0.99
235,-2.36,3.68,0.23,1.55,0.37,0.63,-0.99
236,-3.47,4.22,-1.97,-1.22,0.45,0.57,-0.98
237,-3.47,5.87,-1.42,0.97,0.52,0.51,-0.97
238,-5.69,5.87,-1.97,-1.8,0.58,0.45,-0.96
239,-6.8,4.77,2.43,0.39,0.63,0.39,-0.94
240,-4.58,2.04,4.08,1.53,0.68,0.32,-0.9
241,-1.25,0.94,1.88,1.57,0.73,0.24,-0.86
242,2.64,-0.15,-0.87,1.62,0.78,0.15,-0.81
243,3.75,-0.15,-3.62,-0.02,0.84,0.06,-0.76
244,4.31,6.41,-9.67,1.06,0.88,-0.02,-0.71
245,2.09,8.6,-10.22,0.47,0.92,-0.09,-0.66
246,2.09,6.96,-11.32,-2.27,0.94,-0.15,-0.6
247,2.64,5.87,-9.12,-0.61,0.96,-0.22,-0.54
248,4.31,2.58,-8.02,-1.12,0.97,-0.29,-0.47
249,7.09,0.94,-7.47,0.56,0.99,-0.37,-0.4
250,7.64,2.58,-9.12,1.11,1.0,-0.45,-0.33
251,6.53,4.22,-11.86,-1.11,1.0,-0.52,-0.25
252,4.31,5.32,-10.77,-1.14,1.0,-0.58,-0.18
253,2.09,7.51,-10.77,-1.17,0.99,-0.63,-0.12
254,2.09,5.87,-9.67,-1.71,0.96,-0.69,-0.04
255,3.2,4.22,-8.57,-1.14,0.93,-0.74,0.04
256,5.98,0.94,-9.12,-2.2,0.9,-0.8,0.13
257,9.31,0.39,-10.77,-1.06,0.86,-0.85,0.21
258,10.98,0.39,-11.86,-0.49,0.83,-0.89,0.28
259,11.54,2.04,-14.61,-1.04,0.79,-0.92,0.35
260,10.42,1.49,-14.06,-2.15,0.73,-0.94,0.42
261,9.87,0.39,-10.22,0.05,0.68,-0.96,0.48
262,9.31,-1.25,-9.67,-1.6,0.62,-0.98,0.55
263,9.31,-1.8,-8.57,-1.05,0.56,-1.0,0.62
264,10.98,-2.89,-8.02,0.07,0.49,-1.01,0.69
265,11.54,-1.25,-10.77,-0.48,0.43,-1.01,0.74
266,10.42,0.94,-12.96,-1.6,0.37,-1.0,0.79
267,8.2,3.68,-12.96,-1.09,0.3,-0.99,0.82
268,7.09,3.13,-10.77,-0.55,0.22,-0.97,0.86
269,4.31,0.94,-7.47,-2.22,0.14,-0.94,0.9
270,7.09,-3.98,-4.17,-1.06,0.05,-0.9,0.93
271,10.98,-6.17,-4.72,0.09,-0.03,-0.87,0.96
272,12.09,-8.36,-4.17,-0.44,-0.09,-0.83,0.99
273,13.2,-9.46,-4.72,-0.97,-0.16,-0.79,0.99
274,12.65,-8.91,-4.72,-0.98,-0.23,-0.75,0.99
275,8.76,-6.72,-2.52,-0.48,-0.29,-0.69,0.99
276,5.98,-6.17,0.23,0.03,-0.37,-0.63,0.99
277,4.31,-6.17,0.78,-1.08,-0.44,-0.57,0.99
278,7.09,-8.91,1.88,0.06,-0.51,-0.51,0.98
279,7.64,-8.91,0.23,-1.04,-0.57,-0.45,0.97
280,8.76,-6.72,-1.42,0.62,-0.62,-0.38,0.94
281,7.64,-5.63,-3.07,-1.05,-0.66,-0.31,0.91
282,4.31,-3.44,-1.97,-1.1,-0.71,-0.23,0.86
283,0.42,-1.8,0.78,-0.6,-0.76,-0.15,0.81
284,-1.25,-3.44,4.08,-0.61,-0.81,-0.06,0.76
285,-2.36,-6.17,7.37,-1.16,-0.86,0.02,0.72
286,-1.8,-8.36,9.57,-0.59,-0.89,0.09,0.67
287,-1.8,-6.72,9.57,1.05,-0.91,0.16,0.61
288,-2.36,-4.53,7.92,1.03,-0.92,0.23,0.54
289,-4.03,-2.34,5.72,-0.64,-0.94,0.3,0.48
290,-6.25,-0.15,6.82,0.42,-0.95,0.38,0.41
291,-6.25,-2.34,7.37,-1.22,-0.96,0.46,0.33
292,-5.69,-3.44,11.22,2.09,-0.96,0.53,0.26
293,-5.14,-5.63,10.12,-0.64,-0.96,0.59,0.19
294,-2.91,-6.17,10.67,1.58,-0.95,0.64,0.12
295,-2.91,-4.53,9.57,2.13,-0.92,0.69,0.04
296,-5.14,-1.8,9.02,2.09,-0.89,0.74,-0.04
297,-7.92,0.39,9.02,1.5,-0.86,0.8,-0.13
298,-10.69,0.94,11.22,1.47,-0.83,0.85,-0.21
299,-14.58,-0.15,15.07,0.33,-0.8,0.89,-0.29
300,-14.03,-0.15,15.62,1.44,-0.75,0.92,-0.35
301,-13.47,-0.7,15.07,0.89,-0.7,0.94,-0.42
302,-12.36,-0.15,14.52,2.0,-0.65,0.96,-0.48
303,-11.81,2.58,10.67,1.45,-0.6,0.98,-0.54
304,-12.92,4.22,10.12,1.43,-0.54,1.0,-0.61
305,-13.47,3.68,10.67,0.87,-0.47,1.01,-0.68
306,-13.47,2.58,12.87,1.98,-0.41,1.01,-0.74
307,-13.47,0.39,12.87,-0.21,-0.35,1.0,-0.78
308,-10.69,-0.7,14.52,3.12,-0.29,0.99,-0.82
309,-9.03,-1.25,12.32,2.05,-0.21,0.96,-0.85
310,-8.47,0.39,7.92,-0.15,-0.13,0.93,-0.89
311,-7.36,3.13,7.37,3.14,-0.05,0.9,-0.92
312,-8.47,5.87,4.63,2.02,0.03,0.87,-0.95
313,-9.03,7.51,3.53,2.01,0.1,0.83,-0.98
314,-11.25,8.05,4.08,0.88,0.16,0.79,-0.99
315,-7.92,6.96,2.43,1.47,0.23,0.74,-1.0
316,-5.14,4.22,1.88,0.96,0.3,0.69,-0.99
317,-2.91,4.22,0.23,1.54,0.37,0.63,-1.0
318,-2.36,4.77,-1.42,0.99,0.45,0.56,-0.99
319,-4.03,5.87,-1.97,-0.13,0.51,0.5,-0.98
320,-4.58,6.41,-0.87,0.96,0.57,0.44,-0.97
321,-5.69,4.22,2.43,0.96,0.62,0.38,-0.94
322,-5.14,0.94,4.63,0.43,0.66,0.31,-0.91
323,-1.25,2.04,1.88,2.67,0.71,0.23,-0.87
324,3.2,0.94,-1.97,2.17,0.76,0.14,-0.82
325,3.2,0.39,-4.17,-0.58,0.81,0.05,-0.77
326,4.31,5.87,-9.67,0.51,0.86,-0.03,-0.72
327,2.09,9.15,-9.67,1.57,0.89,-0.1,-0.67
328,2.09,7.51,-10.77,-1.17,0.9,-0.17,-0.61
329,2.64,5.87,-8.57,-0.06,0.92,-0.24,-0.55
330,4.31,3.68,-7.47,0.52,0.93,-0.31,-0.48
331,6.53,0.94,-8.02,-0.54,0.94,-0.39,-0.41
332,6.53,2.58,-8.57,0.55,0.95,-0.46,-0.33
333,6.53,4.77,-11.32,-0.01,0.96,-0.53,-0.26
334,4.31,5.32,-10.77,-1.14,0.95,-0.59,-0.19
335,2.09,7.51,-9.67,-0.07,0.94,-0.65,-0.12
336,1.53,5.32,-9.12,-2.27,0.92,-0.7,-0.04
337,4.31,3.68,-8.02,-0.03,0.89,-0.76,0.04
338,7.09,2.04,-9.12,0.01,0.85,-0.81,0.13
339,9.31,0.94,-11.86,-1.61,0.82,-0.86,0.21
340,10.98,0.94,-12.41,-0.49,0.78,-0.9,0.28
341,12.09,1.49,-14.61,-1.03,0.74,-0.93,0.35
342,10.98,0.39,-14.06,-2.69,0.69,-0.95,0.42
343,10.42,0.39,-10.22,0.6,0.64,-0.97,0.49
344,9.31,-1.25,-9.12,-1.05,0.58,-0.99,0.55
345,9.87,-2.34,-8.02,-0.49,0.52,-1.01,0.62
346,11.54,-2.34,-9.67,-0.47,0.46,-1.02,0.69
347,12.09,-1.8,-11.32,-1.02,0.4,-1.02,0.74
348,10.42,0.94,-12.96,-1.6,0.33,-1.01,0.78
349,8.2,2.58,-12.96,-2.18,0.27,-1.0,0.82
350,7.09,3.13,-10.77,-0.55,0.2,-0.97,0.86
351,5.42,0.94,-7.47,-1.1,0.11,-0.94,0.9
352,7.64,-4.53,-4.17,-1.06,0.03,-0.91,0.93
353,10.42,-6.72,-4.72,-1.02,-0.05,-0.88,0.96
354,12.65,-9.46,-3.62,-0.43,-0.12,-0.84,0.98
355,14.31,-10.0,-3.62,0.69,-0.18,-0.8,0.99
356,11.54,-7.81,-4.17,-0.45,-0.25,-0.75,0.99
357,8.2,-6.17,-2.52,-0.49,-0.32,-0.69,1.0
358,6.53,-7.27,0.23,-0.51,-0.39,-0.63,0.99
359,5.98,-6.72,-0.32,-1.06,-0.46,-0.57,0.99
360,7.09,-8.91,1.88,0.06,-0.53,-0.51,0.98
361,7.64,-8.36,0.23,-0.49,-0.58,-0.45,0.97
362,8.76,-6.17,-1.97,0.61,-0.63,-0.38,0.94
363,7.09,-5.08,-2.52,-0.51,-0.68,-0.31,0.9
364,3.2,-3.44,-0.87,-1.11,-0.73,-0.23,0.86
365,0.42,-3.44,1.33,-1.69,-0.78,-0.14,0.81
366,-0.69,-3.98,4.08,-0.6,-0.83,-0.06,0.76
367,-2.36,-6.17,8.47,-0.06,-0.87,0.02,0.71
368,-2.36,-8.36,9.57,-1.15,-0.9,0.09,0.66
369,-2.36,-7.81,9.57,-0.6,-0.92,0.16,0.61
370,-2.91,-3.98,7.92,1.03,-0.94,0.23,0.54
371,-4.58,-1.8,5.17,-1.2,-0.95,0.31,0.48
372,-5.14,-1.25,7.92,1.54,-0.96,0.39,0.4
373,-5.69,-2.34,7.92,-0.11,-0.97,0.46,0.32
374,-6.25,-3.98,10.67,0.44,-0.98,0.53,0.25
375,-4.58,-5.08,11.22,1.56,-0.97,0.59,0.18
376,-2.91,-5.63,10.67,2.13,-0.95,0.64,0.11
377,-3.47,-3.98,7.37,-0.08,-0.93,0.7,0.04
378,-4.58,-0.7,8.47,3.19,-0.9,0.75,-0.04
379,-8.47,0.94,8.47,0.94,-0.87,0.8,-0.13
380,-11.25,-0.15,12.32,0.92,-0.83,0.85,-0.22
381,-14.03,-0.15,15.62,1.44,-0.8,0.89,-0.29
382,-13.47,-1.25,14.52,-0.2,-0.76,0.92,-0.36
383,-12.92,0.39,15.07,2.54,-0.71,0.94,-0.42
384,-12.92,0.94,12.87,0.89,-0.65,0.96,-0.48
385,-12.36,2.58,10.12,0.34,-0.6,0.98,-0.55
386,-12.92,4.22,10.12,1.43,-0.54,1.0,-0.62
387,-14.03,4.22,10.12,0.32,-0.47,1.01,-0.68
388,-14.03,2.58,12.87,1.42,-0.41,1.01,-0.74
389,-12.92,0.39,13.97,1.45,-0.35,1.01,-0.78
390,-10.69,-1.8,12.87,0.38,-0.28,0.99,-0.82
391,-7.92,-1.8,11.22,1.51,-0.21,0.96,-0.85
392,-7.92,-0.15,9.57,1.5,-0.12,0.93,-0.89
393,-9.03,3.13,5.72,-0.17,-0.04,0.9,-0.93
394,-9.03,5.32,4.08,0.37,0.03,0.87,-0.95
395,-9.58,8.6,3.53,2.54,0.1,0.83,-0.98
396,-10.69,7.51,2.98,-0.21,0.17,0.79,-0.99
397,-7.36,6.41,3.53,2.58,0.24,0.74,-0.99
398,-4.58,4.22,1.88,1.52,0.31,0.68,-1.0
399,-2.91,3.13,-0.87,-0.66,0.38,0.62,-0.99
400,-2.91,5.32,-0.87,1.53,0.46,0.56,-0.99
401,-4.58,6.41,-1.97,-0.14,0.52,0.5,-0.98
402,-4.58,5.87,-0.87,0.41,0.58,0.44,-0.96
403,-5.69,3.13,2.98,0.41,0.63,0.38,-0.94
404,-4.58,1.49,4.08,0.98,0.68,0.3,-0.9
405,-0.69,0.94,0.78,1.03,0.73,0.22,-0.86
406,2.09,0.39,-1.42,1.06,0.78,0.14,-0.81
407,4.31,1.49,-5.27,0.53,0.83,0.05,-0.76
408,4.31,4.77,-10.22,-1.13,0.87,-0.03,-0.71
409,2.64,9.15,-10.22,1.58,0.9,-0.1,-0.65
410,2.64,6.96,-10.77,-1.16,0.92,-0.17,-0.6
411,3.2,5.32,-8.57,-0.05,0.94,-0.24,-0.53
412,4.31,3.13,-7.47,-0.03,0.95,-0.31,-0.46
413,7.09,0.39,-8.57,-1.08,0.96,-0.39,-0.39
414,5.98,2.58,-9.12,-0.56,0.97,-0.47,-0.31
415,5.98,4.77,-11.86,-1.12,0.98,-0.54,-0.24
416,4.31,4.77,-11.86,-2.78,0.97,-0.6,-0.17
